environment	state_col	state	source	target	diagnostic_pass	beta_hat_full	state_slope	abs_state_slope	n_cells_state
kidney	broad_cell_class	kidney epithelial cell	AKR1B1	ITPR2	0	-0.189596430715023	-0.012920335487408983	0.012920335487408983	6402
kidney	broad_cell_class	t cell	AKR1B1	ITPR2	0	-0.189596430715023	-0.11785517316468751	0.11785517316468751	651
kidney	broad_cell_class	lymphocyte of b lineage	AKR1B1	ITPR2	0	-0.189596430715023	-0.10972129559403385	0.10972129559403385	397
kidney	broad_cell_class	myeloid leukocyte	AKR1B1	ITPR2	0	-0.189596430715023	0.026782844319165455	0.026782844319165455	316
kidney	broad_cell_class	kidney epithelial cell	APEX1	SLC5A5	0	0.0511770745417656	-0.002533070126816204	0.002533070126816204	6402
kidney	broad_cell_class	t cell	APEX1	SLC5A5	0	0.0511770745417656	0.01059798242186712	0.01059798242186712	651
kidney	broad_cell_class	lymphocyte of b lineage	APEX1	SLC5A5	0	0.0511770745417656	-0.000451130102443295	0.000451130102443295	397
kidney	broad_cell_class	myeloid leukocyte	APEX1	SLC5A5	0	0.0511770745417656	0.0027843872976975686	0.0027843872976975686	316
kidney	broad_cell_class	kidney epithelial cell	ATF3	LDLR	1	0.1997924557433797	0.030866223309950463	0.030866223309950463	6402
kidney	broad_cell_class	t cell	ATF3	LDLR	1	0.1997924557433797	0.01126259937449921	0.01126259937449921	651
kidney	broad_cell_class	lymphocyte of b lineage	ATF3	LDLR	1	0.1997924557433797	-0.006612013514523329	0.006612013514523329	397
kidney	broad_cell_class	myeloid leukocyte	ATF3	LDLR	1	0.1997924557433797	0.08481740989079334	0.08481740989079334	316
kidney	broad_cell_class	kidney epithelial cell	CEBPA	DAPK1	0	0.447956169971587	-0.010417969019638101	0.010417969019638101	6402
kidney	broad_cell_class	t cell	CEBPA	DAPK1	0	0.447956169971587	-0.006778623638861489	0.006778623638861489	651
kidney	broad_cell_class	lymphocyte of b lineage	CEBPA	DAPK1	0	0.447956169971587	0.14047748105955904	0.14047748105955904	397
kidney	broad_cell_class	myeloid leukocyte	CEBPA	DAPK1	0	0.447956169971587	0.3127808534813704	0.3127808534813704	316
kidney	broad_cell_class	kidney epithelial cell	CEBPA	HNF4A	1	-0.0055155057108488	0.02127312715760382	0.02127312715760382	6402
kidney	broad_cell_class	t cell	CEBPA	HNF4A	1	-0.0055155057108488	0.08868033977994043	0.08868033977994043	651
kidney	broad_cell_class	lymphocyte of b lineage	CEBPA	HNF4A	1	-0.0055155057108488	0.22939169609514964	0.22939169609514964	397
kidney	broad_cell_class	myeloid leukocyte	CEBPA	HNF4A	1	-0.0055155057108488	-0.04491606181716577	0.04491606181716577	316
kidney	broad_cell_class	kidney epithelial cell	CEBPA	VLDLR	0	-0.0196445115525728	-0.022145611406338337	0.022145611406338337	6402
kidney	broad_cell_class	t cell	CEBPA	VLDLR	0	-0.0196445115525728	-0.010960795502495185	0.010960795502495185	651
kidney	broad_cell_class	lymphocyte of b lineage	CEBPA	VLDLR	0	-0.0196445115525728	-0.0025664709942129216	0.0025664709942129216	397
kidney	broad_cell_class	myeloid leukocyte	CEBPA	VLDLR	0	-0.0196445115525728	-0.0003922609150354662	0.0003922609150354662	316
kidney	broad_cell_class	kidney epithelial cell	CEBPB	GFER	0	0.0241706365541995	0.017542179458865742	0.017542179458865742	6402
kidney	broad_cell_class	t cell	CEBPB	GFER	0	0.0241706365541995	0.05700694927324635	0.05700694927324635	651
kidney	broad_cell_class	lymphocyte of b lineage	CEBPB	GFER	0	0.0241706365541995	0.056625830025374066	0.056625830025374066	397
kidney	broad_cell_class	myeloid leukocyte	CEBPB	GFER	0	0.0241706365541995	-0.041746085101203444	0.041746085101203444	316
kidney	broad_cell_class	kidney epithelial cell	CREB1	XPC	0	0.0458190723347473	0.03407394430228801	0.03407394430228801	6402
kidney	broad_cell_class	t cell	CREB1	XPC	0	0.0458190723347473	0.023882767006284902	0.023882767006284902	651
kidney	broad_cell_class	lymphocyte of b lineage	CREB1	XPC	0	0.0458190723347473	-0.007963615412393783	0.007963615412393783	397
kidney	broad_cell_class	myeloid leukocyte	CREB1	XPC	0	0.0458190723347473	0.0052003825885836245	0.0052003825885836245	316
kidney	broad_cell_class	kidney epithelial cell	CTCF	CACNA1D	0	0.0141569070885621	0.02211061505750493	0.02211061505750493	6402
kidney	broad_cell_class	t cell	CTCF	CACNA1D	0	0.0141569070885621	-0.003149310750828172	0.003149310750828172	651
kidney	broad_cell_class	lymphocyte of b lineage	CTCF	CACNA1D	0	0.0141569070885621	0.001429246676747257	0.001429246676747257	397
kidney	broad_cell_class	myeloid leukocyte	CTCF	CACNA1D	0	0.0141569070885621	0.0002208655130782162	0.0002208655130782162	316
kidney	broad_cell_class	kidney epithelial cell	CTCF	MAP4K4	0	-0.1621059859737455	0.0401791214759146	0.0401791214759146	6402
kidney	broad_cell_class	t cell	CTCF	MAP4K4	0	-0.1621059859737455	0.1170175350693009	0.1170175350693009	651
kidney	broad_cell_class	lymphocyte of b lineage	CTCF	MAP4K4	0	-0.1621059859737455	0.08158210866799086	0.08158210866799086	397
kidney	broad_cell_class	myeloid leukocyte	CTCF	MAP4K4	0	-0.1621059859737455	0.06322881823059731	0.06322881823059731	316
kidney	broad_cell_class	kidney epithelial cell	DDIT3	TNFRSF10B	1	0.1711217470599156	0.010386054645013949	0.010386054645013949	6402
kidney	broad_cell_class	t cell	DDIT3	TNFRSF10B	1	0.1711217470599156	-0.05174835563181112	0.05174835563181112	651
kidney	broad_cell_class	lymphocyte of b lineage	DDIT3	TNFRSF10B	1	0.1711217470599156	0.0464060371914947	0.0464060371914947	397
kidney	broad_cell_class	myeloid leukocyte	DDIT3	TNFRSF10B	1	0.1711217470599156	0.022651043446364153	0.022651043446364153	316
kidney	broad_cell_class	kidney epithelial cell	E2F1	CHEK2	0	0.1213481683947032	0.052411702598722736	0.052411702598722736	6402
kidney	broad_cell_class	t cell	E2F1	CHEK2	0	0.1213481683947032	0.28247327445567166	0.28247327445567166	651
kidney	broad_cell_class	lymphocyte of b lineage	E2F1	CHEK2	0	0.1213481683947032	-0.037383832200259835	0.037383832200259835	397
kidney	broad_cell_class	myeloid leukocyte	E2F1	CHEK2	0	0.1213481683947032	0.8516495107505968	0.8516495107505968	316
kidney	broad_cell_class	kidney epithelial cell	E2F4	EIF2B2	1	0.0547846177334818	0.00897013195072005	0.00897013195072005	6402
kidney	broad_cell_class	t cell	E2F4	EIF2B2	1	0.0547846177334818	0.017316690017161858	0.017316690017161858	651
kidney	broad_cell_class	lymphocyte of b lineage	E2F4	EIF2B2	1	0.0547846177334818	-0.043948131889364216	0.043948131889364216	397
kidney	broad_cell_class	myeloid leukocyte	E2F4	EIF2B2	1	0.0547846177334818	-0.060381928296013555	0.060381928296013555	316
kidney	broad_cell_class	kidney epithelial cell	E2F4	SRSF8	0	0.0432647899809934	-0.001251854802828882	0.001251854802828882	6402
