rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
1	Regulation Of Type II Interferon Production (GO:0032649)	8.947215353292249e-05	19.145060240963854	178.46227027411163	['TYK2', 'CD14', 'ZFPM1', 'VSIR']	0.02430114930933939
2	Regulation Of Interleukin-17 Production (GO:0032660)	0.00010492510084808427	37.789373814041745	346.23621125249724	['RFTN1', 'TYK2', 'VSIR']	0.02430114930933939
3	Atrioventricular Valve Formation (GO:0003190)	0.00010658398819885696	191.75	1753.8561899938488	['SMAD4', 'ZFPM1']	0.02430114930933939
4	O-glycan Processing (GO:0016266)	0.0001844353331875563	30.81733746130031	264.9739900911588	['GALNT2', 'XXYLT1', 'ST3GAL1']	0.02470056289172482
5	Regulation Of Cell Population Proliferation (GO:0042127)	0.00019156865690135594	5.069749009247028	43.39839141284913	['CCND2', 'CCKBR', 'ADAMTS1', 'ERBB2', 'CDC7', 'PRL', 'JUNB', 'TP53I11', 'NOX1']	0.02470056289172482
6	Positive Regulation Of Cytokine Production (GO:0001819)	0.00021667160431337564	7.8152866242038215	65.938571220368	['RFTN1', 'NOX5', 'TYK2', 'CD14', 'ZFPM1', 'NOX1']	0.02470056289172482
11	Regulation Of T-helper 17 Type Immune Response (GO:2000316)	0.0005475615753860751	69.7027972027972	523.4704909315706	['TYK2', 'JUNB']	0.03404837432400685
10	Positive Regulation Of Type II Interferon Production (GO:0032729)	0.0005168357376999027	21.27379679144385	160.99552995198968	['TYK2', 'CD14', 'ZFPM1']	0.03404837432400685
9	UV-damage Excision Repair (GO:0070914)	0.0004641239039697884	76.67692307692307	588.5229121650322	['XPC', 'DDB2']	0.03404837432400685
8	Positive Regulation Of DNA-templated Transcription (GO:0045893)	0.00041177362916232694	3.8857973421926912	30.289933292926715	['SEC14L2', 'SMAD4', 'CASZ1', 'EPAS1', 'ZBTB16', 'CHEK2', 'ERBB2', 'XPC', 'PRL', 'ZFPM1', 'JUNB']	0.03404837432400685
7	Apoptotic Process (GO:0006915)	0.00036982957021355775	9.024892468198042	71.31892645573335	['DAPK1', 'ZBTB16', 'ITGB2', 'NOX5', 'CD14']	0.03404837432400685
12	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	0.0006588525835153096	19.49607843137255	142.80898400941996	['CCND2', 'ADAMTS1', 'CDC7']	0.03755459726037264
13	Positive Regulation Of Cellular Process (GO:0048522)	0.0010383194254071709	4.911848925296313	33.7451477844333	['MMP14', 'CCND2', 'CCKBR', 'ERBB2', 'CDC7', 'PRL', 'NOX1']	0.05417407681672523
14	Superoxide Anion Generation (GO:0042554)	0.0011880280003667813	45.088235294117645	303.69002734168436	['NOX5', 'NOX1']	0.05417407681672523
15	Atrioventricular Valve Morphogenesis (GO:0003181)	0.0011880280003667813	45.088235294117645	303.69002734168436	['SMAD4', 'ZFPM1']	0.05417407681672523
16	Positive Regulation Of Growth (GO:0045927)	0.0013679049969355808	14.98340874811463	98.80771303890248	['MMP14', 'ERBB2', 'RFTN1']	0.058477938618996084
20	Positive Regulation Of Interleukin-17 Production (GO:0032740)	0.001901018240228249	34.83216783216783	218.23626682147088	['RFTN1', 'TYK2']	0.06501482381580612
19	Positive Regulation Of Cell Population Proliferation (GO:0008284)	0.001861859173683071	5.101939203354298	32.071706827984194	['CCND2', 'CCKBR', 'ERBB2', 'CDC7', 'PRL', 'NOX1']	0.06501482381580612
17	Endocytosis (GO:0006897)	0.0016896296420258786	8.545297297297298	54.54673411494119	['ITGB2', 'VLDLR', 'CD14', 'DNM1']	0.06501482381580612
18	Positive Regulation Of Protein Targeting To Membrane (GO:0090314)	0.001745613739842444	36.49267399267399	231.75216621862398	['ITGB2', 'ERBB2']	0.06501482381580612
21	Protein O-linked Glycosylation (GO:0006493)	0.002033596518985928	12.977777777777778	80.43560959243626	['GALNT2', 'XXYLT1', 'ST3GAL1']	0.06623714376125593
22	Ventricular Septum Morphogenesis (GO:0060412)	0.002405103597341798	30.647692307692306	184.81055875222285	['SMAD4', 'ZFPM1']	0.07477685729917226
23	Regulation Of Protein Targeting To Membrane (GO:0090313)	0.0025856429296413053	29.467455621301774	175.5606497654468	['ITGB2', 'ERBB2']	0.07689477234237621
27	Mitotic Cell Cycle Phase Transition (GO:0044772)	0.0033594172029272505	10.805010893246187	61.5452099195161	['CCND2', 'CHEK2', 'CDC7']	0.08510523580749034
24	Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	0.0031643223277353994	26.415119363395224	152.0405762035586	['CCND2', 'ADAMTS1']	0.08510523580749034
25	Endodermal Cell Differentiation (GO:0035987)	0.0031643223277353994	26.415119363395224	152.0405762035586	['MMP14', 'ITGB2']	0.08510523580749034
26	Regulation Of Cell Growth (GO:0001558)	0.0032783476572610525	7.075515695067264	40.474891397006594	['MMP14', 'SMAD4', 'ERBB2', 'IL17RB']	0.08510523580749034
30	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	0.003841799279141615	5.225985682231007	29.065962734386137	['SMAD4', 'EPAS1', 'ZBTB16', 'NOX5', 'PRL']	0.08759302356442883
28	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	0.003777417195853905	4.3999546279491835	24.54609193369082	['SEC14L2', 'SMAD4', 'CASZ1', 'ZBTB16', 'CHEK2', 'XPC']	0.08759302356442883
29	Superoxide Metabolic Process (GO:0006801)	0.0037978938019504445	23.935096153846153	133.3976779195181	['NOX5', 'NOX1']	0.08759302356442883
34	Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)	0.004485466019866562	21.88021978021978	118.30444220257537	['PRL', 'TYK2']	0.08765882164539225
31	Endoderm Formation (GO:0001706)	0.0040211281759028085	23.208624708624708	128.02324793427925	['MMP14', 'ITGB2']	0.08765882164539225
32	Receptor-Mediated Endocytosis (GO:0006898)	0.004379227716379815	9.800790904597132	53.226947638137325	['ITGB2', 'VLDLR', 'DNM1']	0.08765882164539225
33	Ventricular Septum Development (GO:0003281)	0.004485466019866562	21.88021978021978	118.30444220257537	['SMAD4', 'ZFPM1']	0.08765882164539225
35	Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)	0.004485466019866562	21.88021978021978	118.30444220257537	['PRL', 'TYK2']	0.08765882164539225
36	Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	0.0052261580017125345	20.149797570850204	105.86862582436255	['CCND2', 'ADAMTS1']	0.09929700203253816
37	Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	0.00629487455626043	18.227106227106226	92.3753305021316	['HLA-DRB5', 'ITGB2']	0.11637011341843606
38	Zymogen Activation (GO:0031638)	0.006576328212641212	17.802325581395348	89.44384543900023	['MMP14', 'VSIR']	0.11837390782754181
118	Inflammatory Response (GO:0006954)	0.025885532298783497	4.97677354203484	18.185484196277876	['ITGB2', 'CD14', 'NOX1']	0.13168020727426835
138	Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558)	0.028832942410493154	7.952724358974359	28.202243080795174	['DAPK1', 'SHMT1']	0.13168020727426835
139	Tetrahydrofolate Metabolic Process (GO:0046653)	0.02930932497110778	37.615094339622644	132.7756240232595	['SHMT1']	0.13168020727426835
140	Regulation Of Keratinocyte Migration (GO:0051547)	0.02930932497110778	37.615094339622644	132.7756240232595	['MAP4K4']	0.13168020727426835
141	Negative Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000515)	0.02930932497110778	37.615094339622644	132.7756240232595	['VSIR']	0.13168020727426835
142	Regulation Of T-helper 17 Cell Differentiation (GO:2000319)	0.02930932497110778	37.615094339622644	132.7756240232595	['JUNB']	0.13168020727426835
143	Regulation Of Alcohol Biosynthetic Process (GO:1902930)	0.02930932497110778	37.615094339622644	132.7756240232595	['SEC14L2']	0.13168020727426835
144	Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)	0.02930932497110778	37.615094339622644	132.7756240232595	['CDC7']	0.13168020727426835
145	Hemopoiesis (GO:0030097)	0.03047843496490558	7.710567210567211	26.915553738733543	['ZBTB16', 'ZFPM1']	0.13168020727426835
146	Positive Regulation Of Histone H3-K4 Methylation (GO:0051571)	0.03193162350337226	34.19382504288165	117.76895070161899	['SMAD4']	0.13168020727426835
147	Folic Acid Metabolic Process (GO:0046655)	0.03193162350337226	34.19382504288165	117.76895070161899	['SHMT1']	0.13168020727426835
148	Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888)	0.03193162350337226	34.19382504288165	117.76895070161899	['ITGB2']	0.13168020727426835
149	Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904994)	0.03193162350337226	34.19382504288165	117.76895070161899	['ITGB2']	0.13168020727426835
150	Calcium Ion Import (GO:0070509)	0.03193162350337226	34.19382504288165	117.76895070161899	['CACNA1D']	0.13168020727426835
151	Cellular Response To Acidic pH (GO:0071468)	0.03193162350337226	34.19382504288165	117.76895070161899	['NOX1']	0.13168020727426835
152	Mitotic DNA Integrity Checkpoint Signaling (GO:0044774)	0.03193162350337226	34.19382504288165	117.76895070161899	['CHEK2']	0.13168020727426835
137	Phosphorylation (GO:0016310)	0.028447957819535654	3.6745411764705884	13.080186701784507	['DAPK1', 'CHEK2', 'ERBB2', 'MAP4K4']	0.13168020727426835
153	Quaternary Ammonium Group Transport (GO:0015697)	0.03193162350337226	34.19382504288165	117.76895070161899	['SLC22A4']	0.13168020727426835
136	Positive Regulation Of Dendrite Development (GO:1900006)	0.026680055532623963	41.79664570230608	151.46431378315344	['VLDLR']	0.13168020727426835
134	Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636)	0.026680055532623963	41.79664570230608	151.46431378315344	['VSIR']	0.13168020727426835
119	Negative Regulation Of Amide Metabolic Process (GO:0034249)	0.026173666421059647	8.391800507185122	30.571341601228703	['DAPK1', 'SHMT1']	0.13168020727426835
120	Negative Regulation Of Interleukin-17 Production (GO:0032700)	0.026680055532623963	41.79664570230608	151.46431378315344	['VSIR']	0.13168020727426835
121	Thyroid Hormone Generation (GO:0006590)	0.026680055532623963	41.79664570230608	151.46431378315344	['SLC5A5']	0.13168020727426835
122	L-serine Metabolic Process (GO:0006563)	0.026680055532623963	41.79664570230608	151.46431378315344	['SHMT1']	0.13168020727426835
123	N-acetylneuraminate Metabolic Process (GO:0006054)	0.026680055532623963	41.79664570230608	151.46431378315344	['ST3GAL1']	0.13168020727426835
124	Type III Interferon-Mediated Signaling Pathway (GO:0038196)	0.026680055532623963	41.79664570230608	151.46431378315344	['TYK2']	0.13168020727426835
125	T-helper Cell Lineage Commitment (GO:0002295)	0.026680055532623963	41.79664570230608	151.46431378315344	['ZFPM1']	0.13168020727426835
126	Atrial Septum Morphogenesis (GO:0060413)	0.026680055532623963	41.79664570230608	151.46431378315344	['ZFPM1']	0.13168020727426835
127	Mesonephros Development (GO:0001823)	0.026680055532623963	41.79664570230608	151.46431378315344	['ZBTB16']	0.13168020727426835
128	Cellular Response To Forskolin (GO:1904322)	0.026680055532623963	41.79664570230608	151.46431378315344	['SLC5A5']	0.13168020727426835
129	Cellular Response To Interleukin-12 (GO:0071349)	0.026680055532623963	41.79664570230608	151.46431378315344	['TYK2']	0.13168020727426835
130	Positive Regulation Of B Cell Differentiation (GO:0045579)	0.026680055532623963	41.79664570230608	151.46431378315344	['MMP14']	0.13168020727426835
131	Positive Regulation Of DNA-templated DNA Replication (GO:2000105)	0.026680055532623963	41.79664570230608	151.46431378315344	['CDC7']	0.13168020727426835
132	Cellular Response To Type III Interferon (GO:0071358)	0.026680055532623963	41.79664570230608	151.46431378315344	['TYK2']	0.13168020727426835
133	Response To Forskolin (GO:1904321)	0.026680055532623963	41.79664570230608	151.46431378315344	['SLC5A5']	0.13168020727426835
135	Positive Regulation Of Chondrocyte Differentiation (GO:0032332)	0.026680055532623963	41.79664570230608	151.46431378315344	['ZBTB16']	0.13168020727426835
154	Defense Response To Tumor Cell (GO:0002357)	0.03193162350337226	34.19382504288165	117.76895070161899	['DAPK1']	0.13168020727426835
174	Secondary Palate Development (GO:0062009)	0.03454696920988076	31.342767295597483	105.4820602978719	['SMAD4']	0.13168020727426835
156	Cellular Response To Organonitrogen Compound (GO:0071417)	0.03272925432536619	7.409634055265124	25.337139719507565	['SHMT1', 'SLC5A5']	0.13168020727426835
178	Extracellular Structure Organization (GO:0043062)	0.03504355895950135	7.131200575125809	23.897818719076444	['MMP14', 'ADAMTS1']	0.13168020727426835
179	External Encapsulating Structure Organization (GO:0045229)	0.035631869982316926	7.064814814814815	23.557729682017335	['MMP14', 'ADAMTS1']	0.13168020727426835
180	Double-Strand Break Repair Via Homologous Recombination (GO:0000724)	0.036224026197380105	6.9996471418489765	23.22505791750224	['RAD51AP1', 'CDC7']	0.13168020727426835
