dataset,source,target,diagnostic_pass,beta_hat,r2,rmse,n_pert,n_control,perturb_delta,abs_perturb_delta,cohen_d,z_score,p_value,sign_concordant
adamson,DDIT3,TNFRSF10B,1,0.1711217470599156,0.6644081640103418,0.0138768073732071,435,24263,-0.049549467861652374,0.049549467861652374,-0.21727518737316132,-4.842926502227783,1.2794062336229928e-06,0.0
dixit,CREB1,XPC,0,0.0458190723347473,0.1004521013619321,0.0129144743535151,1568,6910,-0.04716914262086891,0.04716914262086891,-0.05507038172712428,-2.0297955924035294,0.04237732117969362,0.0
dixit,E2F4,EIF2B2,1,0.0547846177334818,0.7208592614920282,0.0059453504006823,840,6910,-0.0117307559782234,0.0117307559782234,-0.02451672747523446,-0.6884338931022786,0.4911795864417998,0.0
dixit,EGR1,DNM1,0,0.0287825118749389,0.321164461855748,0.0254863549186353,1246,6910,-0.01488154278931364,0.01488154278931364,-0.030274028664385142,-1.002127080376279,0.31628222029207986,0.0
dixit,EGR1,MMP14,0,0.0200681497818701,0.0050353913379127,0.0179832859149952,1246,6910,-0.00010453131642093952,0.00010453131642093952,-0.0008899012439199714,-0.02916435405114195,0.9767335104793498,0.0
dixit,EGR1,ZFPM1,0,-0.0162140511706164,0.4752837903016675,0.0074835195798336,1246,6910,0.003634437726048975,0.003634437726048975,0.013721524915332834,0.43461458805426817,0.6638422043946051,0.0
dixit,ETS1,ST3GAL1,0,0.241958977573052,0.5531785381061107,0.0786252078144124,1029,6910,-0.024070690918500948,0.024070690918500948,-0.06126396232910388,-1.754091152790591,0.07941488940010966,0.0
dixit7,CREB1,XPC,0,0.0458190723347473,0.1004521013619321,0.0129144743535151,2713,10360,-0.00485169361874116,0.00485169361874116,-0.004391904888216724,-0.20441579917866695,0.8380285848856741,0.0
dixit7,E2F4,EIF2B2,1,0.0547846177334818,0.7208592614920282,0.0059453504006823,1696,10360,0.015154440154440174,0.015154440154440174,0.023066453893736585,0.8782425849983893,0.3798120864348691,1.0
dixit7,EGR1,DNM1,0,0.0287825118749389,0.321164461855748,0.0254863549186353,2275,10360,0.025335610335610326,0.025335610335610326,0.04208670157079469,1.7777190509614567,0.07545000916823619,1.0
dixit7,EGR1,MMP14,0,0.0200681497818701,0.0050353913379127,0.0179832859149952,2275,10360,0.0017315117315117312,0.0017315117315117312,0.01362545374480783,0.5658216688142336,0.5715150146336989,1.0
dixit7,EGR1,ZFPM1,0,-0.0162140511706164,0.4752837903016675,0.0074835195798336,2275,10360,-0.007668547668547673,0.007668547668547673,-0.02953363018850549,-1.3143044753736994,0.188743761817189,1.0
dixit7,ETS1,ST3GAL1,0,0.241958977573052,0.5531785381061107,0.0786252078144124,1784,10360,-0.004500320307495198,0.004500320307495198,-0.013509256780343842,-0.5337801773806722,0.5934936298220523,0.0
