gamma,anchor_noise,naive_abs_bias,anchor_abs_bias,improvement,anchor_better,phase_reps
0.0,0.0,0.010462350161856959,0.013033218864408062,-0.002570868702551103,0,120
0.0,0.25,0.00932369272620942,0.013523624873322567,-0.004199932147113146,0,120
0.0,0.5,0.008693151564115117,0.012802544945709902,-0.004109393381594785,0,120
0.0,0.75,0.009930092567352259,0.012916708352886651,-0.0029866157855343925,0,120
0.0,1.0,0.010414308008404705,0.011863881934971105,-0.0014495739265664009,0,120
0.0,1.25,0.010695716642463248,0.011015524124414165,-0.00031980748195091675,0,120
0.0,1.5,0.009092739995111362,0.010192187084656646,-0.0010994470895452843,0,120
0.25,0.0,0.1253803357798975,0.015955977037134784,0.10942435874276271,1,120
0.25,0.25,0.1262299454151007,0.019846944911798604,0.10638300050330211,1,120
0.25,0.5,0.12767736091527987,0.04541508412169063,0.08226227679358925,1,120
0.25,0.75,0.12357106280010469,0.0669813799802075,0.05658968281989718,1,120
0.25,1.0,0.12630455836075638,0.08491821625893507,0.04138634210182131,1,120
0.25,1.25,0.12611562666059822,0.09605250420293879,0.030063122457659436,1,120
0.25,1.5,0.12466916579466202,0.10183199440099773,0.022837171393664285,1,120
0.5,0.0,0.2509173480736083,0.015188177956138572,0.23572917011746974,1,120
0.5,0.25,0.25149917271703287,0.03219701105849183,0.21930216165854105,1,120
0.5,0.5,0.25132503736520934,0.08381926913701739,0.16750576822819196,1,120
0.5,0.75,0.25081677861409596,0.13384111614905952,0.11697566246503643,1,120
0.5,1.0,0.2497331236302434,0.16600389143011546,0.08372923220012793,1,120
0.5,1.25,0.25180476446984856,0.1920135767012407,0.05979118776860787,1,120
0.5,1.5,0.24826475773891013,0.202961882127018,0.04530287561189214,1,120
0.75,0.0,0.37605279987103635,0.014070636501776024,0.3619821633692603,1,120
0.75,0.25,0.37402019459067587,0.04134275046340878,0.3326774441272671,1,120
0.75,0.5,0.37439586369643735,0.12419988821854683,0.2501959754778905,1,120
0.75,0.75,0.37520445340449426,0.199424322914083,0.17578013049041127,1,120
0.75,1.0,0.3756976646368344,0.2498192681455541,0.1258783964912803,1,120
0.75,1.25,0.37456477096187,0.28273495362903567,0.09182981733283435,1,120
0.75,1.5,0.37416040206296086,0.3056934267334818,0.06846697532947904,1,120
1.0,0.0,0.4995554156571218,0.012875891853564072,0.4866795238035577,1,120
1.0,0.25,0.5007026967235384,0.0565362869398347,0.4441664097837037,1,120
1.0,0.5,0.5000126381603247,0.1659122540399847,0.33410038412034004,1,120
1.0,0.75,0.5009548031443639,0.26498328587018916,0.23597151727417476,1,120
1.0,1.0,0.4984522567706076,0.3330518217398956,0.165400435030712,1,120
1.0,1.25,0.5001113592026178,0.3792529889824438,0.12085837022017404,1,120
1.0,1.5,0.4991928847568762,0.4080312347879063,0.09116164996896986,1,120
1.25,0.0,0.6225971255603598,0.01310855152102249,0.6094885740393373,1,120
1.25,0.25,0.6256203938750993,0.07096101739879045,0.5546593764763088,1,120
1.25,0.5,0.623691629318514,0.20941689454477935,0.4142747347737346,1,120
1.25,0.75,0.6258566083950485,0.3296357549591769,0.2962208534358716,1,120
1.25,1.0,0.6241947821049469,0.4141992087151535,0.20999557338979347,1,120
1.25,1.25,0.6256841928318256,0.4731662058549477,0.15251798697687796,1,120
1.25,1.5,0.6252266659480031,0.5094232945814237,0.11580337136657948,1,120
1.5,0.0,0.7514172571150906,0.013497126823016991,0.7379201302920736,1,120
1.5,0.25,0.7519799631090296,0.08505608069225513,0.6669238824167745,1,120
1.5,0.5,0.7491486179798362,0.2503167776231485,0.4988318403566877,1,120
1.5,0.75,0.7492906188219394,0.39829331257311307,0.3509973062488263,1,120
1.5,1.0,0.7461083433500212,0.49788739774542834,0.24822094560459285,1,120
1.5,1.25,0.7525212427496281,0.5712461996112642,0.18127504313836384,1,120
1.5,1.5,0.7525119288596863,0.6160018137690437,0.1365101150906426,1,120
