source,target,references,n_references,n_env,beta_hat,c_hat,rmse,r2,max_abs_residual,varx_ratio,pairwise_beta_mean,pairwise_beta_sd,diagnostic_pass
RELA,CXCL8,"dorothea,trrust",2,4,0.14050339054393282,-0.031173414698316006,0.0036822383527533604,0.9890830687806318,0.006194816712083218,2.5277100288781416,0.14724138017006597,0.026892003009378117,1
GATA2,NR3C2,dorothea,1,4,-0.08814682958162377,0.004574929248312003,0.06224671712771665,0.9812148636267162,0.10059206352379098,46.785154751061064,-0.018559782937235307,0.11547416315631136,1
NFKB2,CXCL8,dorothea,1,4,0.37219309897021,-0.02783188595370814,0.022942780004740638,0.9524620760316097,0.03791814950563538,4.2231253544967755,0.3697137223033287,0.07343236218881827,1
FOS,CEP112,dorothea,1,4,0.03245271925674756,-0.02517883770778287,0.004447597913315995,0.8775615948559059,0.0064283085269931685,2.082072325576788,-0.04971187182032802,0.19842090551719724,1
ESR1,SMOX,dorothea,1,4,0.03159328116312549,-0.0013567025660631868,0.0048857303117934925,0.8428884563493606,0.006767189322867274,5.565358216745264,0.025334175606904458,0.017599020536795858,1
JUN,STMN1,"dorothea,trrust",2,4,0.11722792100220092,-0.06734460864212063,0.01523901020726191,0.8359449979831864,0.0236793991154855,2.292560644834561,0.16029448381843708,0.14206199443271034,1
MYB,ANPEP,"dorothea,trrust",2,4,-0.0005746949133596323,-0.0016753172728664037,0.047545037002709845,0.8353782056672299,0.07592331969840388,12.77492557040131,-0.06845080725733978,0.1932818893661739,1
SP1,CREB1,trrust,1,4,-0.06019838482143542,0.028341301188800645,0.006783695949735985,0.8333649390738036,0.009910346712831744,1.4989209754771469,-0.13431330761088484,0.09723146389298311,1
ZNF263,SSBP3,dorothea,1,4,-0.030611241609577004,0.0063663985219658634,0.007668354488141795,0.8091492404294724,0.010990499822000746,2.303505657575303,0.008988900340949811,0.07897276608686378,1
SPI1,CUX2,dorothea,1,4,0.006537313442676737,-0.0009235143804939085,0.002708049252017549,0.7571363026924294,0.004011699609196751,9.474397195508125,0.01392506703699937,0.013638775319291913,1
SREBF2,ABCG8,trrust,1,4,-0.004825972421598817,0.00228310106455099,0.001585613576916387,0.7558792912289368,0.002285808720621174,2.813135465713497,-0.0005693034803487726,0.0076205145332423375,1
E2F4,EIF2B2,dorothea,1,4,0.05478461773348187,-0.0075553424358915135,0.005945350400682403,0.720859261492028,0.009328878856658576,2.368807441377335,0.09213275087291271,0.1115439892283387,1
ZBTB33,RBM15,dorothea,1,4,0.024150176428720468,-0.0008050884837343024,0.0010231997317456942,0.7195841530643021,0.001595625658787658,1.6482145842905735,0.0439921279028766,0.06436763976614625,1
EGR1,SYN2,"dorothea,trrust",2,4,0.0038893750954347222,0.00029789889662798806,0.0016160382674456847,0.6846439021748816,0.0026488540023405166,17.810872640582346,-0.0006311987180931374,0.00819592573769064,1
ATF3,LDLR,"dorothea,trrust",2,4,0.19979245574337973,-0.008164690956168995,0.029936940489979715,0.6662245890250246,0.04749728944857373,9.839706122094986,0.2835537425581213,0.11247665994248732,1
DDIT3,TNFRSF10B,"dorothea,trrust",2,4,0.1711217470599159,-0.04377834645930616,0.013876807373207201,0.6644081640103415,0.018468381213345812,1.4798491319416178,0.1660504602713678,0.15268271668335393,1
SIRT1,EGLN1,trrust,1,4,-0.030206004825308042,0.007231593367033929,0.005525901434400732,0.6497235135065902,0.00918075457681939,2.037046844091417,0.024447758233154798,0.1465194130458908,1
SP3,F2R,"dorothea,trrust",2,4,-0.046742828562038395,0.02288608585663573,0.014275706936795963,0.639085725531223,0.023722769849681927,2.467204725250142,-0.0581454122046583,0.09935187972312208,1
RELA,SLC9A2,trrust,1,4,0.0022740298928852626,-0.0011022764552516117,0.0010535625157423447,0.580487336256072,0.0014384496857509938,2.5277100288781416,-0.0006063194440663172,0.009086725696034699,1
MYC,MELTF,dorothea,1,4,0.06002016854501667,-0.016746924461524294,0.008732728134394489,0.5804536549259287,0.015094194560357193,1.810456043153196,0.09984455606706005,0.0777550439841461,1
TP53,USP9X,dorothea,1,4,0.06843807187104392,-0.0027778728883423066,0.0031633370736143442,0.5588344982581872,0.005289761918574748,2.099522872892499,0.06740938742627632,0.019955187551411974,1
CEBPA,HNF4A,dorothea,1,4,-0.005515505710848974,0.0006193256376580605,0.00405077771331273,0.5241900443703847,0.006052827279941296,5.0669802435654985,0.026557574269788456,0.08097140832420704,1
EGR1,ARHGAP45,dorothea,1,4,-0.10848735621214681,0.01924295257873816,0.0806574596786835,0.7843199720617298,0.13037466937060024,17.810872640582346,-0.02624140689452346,0.8011934944403056,0
GATA2,FRY,dorothea,1,4,0.11965829334282929,0.0015035938577586296,0.07914304728573662,0.7772924285724524,0.12736451122350614,46.785154751061064,0.2861078591127348,0.3784147939858516,0
HNF4A,ZBTB16,dorothea,1,4,-0.16186951974569716,0.0010403232259759778,0.07191690887081466,0.721421354818111,0.09935758975225599,143.92390860012517,0.5600367586928797,1.8470940631085095,0
RFXANK,HLA-DRB5,trrust,1,4,-0.15942972333253655,0.04127551615700072,0.028956648871026783,0.6871934049878163,0.04262078496575269,1.7298866664398196,-0.5059392342970496,0.9356306740958751,0
LMX1B,COL4A4,trrust,1,4,-0.12832376599828704,0.000632491764015748,0.07910492443959795,0.6694122092798678,0.11866957888557297,3.927375338736673,0.7183593189013783,1.9043421785998214,0
CEBPA,DAPK1,dorothea,1,4,0.4479561699715871,-0.011413701371471276,0.05603358767090298,0.6616437963951805,0.08102186959611057,5.0669802435654985,0.03937101002563604,1.0425107748391078,0
SP1,DDB2,trrust,1,4,-0.07764570131031706,0.026773437957350182,0.010404824545804714,0.6548327349478886,0.017335404491660933,1.4989209754771469,-0.32602375604645184,0.7789159339784372,0
FOS,PARD3B,dorothea,1,4,0.10214889492053024,-0.08601101629505978,0.030178062350767143,0.6449650526743527,0.04699250286793148,2.082072325576788,0.0992534085097652,0.3741193952496964,0
CTCF,MAP4K4,dorothea,1,4,-0.1621059859737457,0.09044121572892165,0.03863435412017343,0.570305472080371,0.06395932952619368,1.643988045716806,-0.13320039398541272,0.33476746579825256,0
ETS1,ST3GAL1,dorothea,1,4,0.24195897757305213,-0.07462714855390333,0.07862520781441243,0.5531785381061111,0.11913522711395119,3.998543916478504,0.09329280552231001,0.3118191596769399,0
SPI1,GALNT2,dorothea,1,4,-0.05417814406609322,0.022055455534836458,0.11063957228361396,0.5157952817718874,0.1548614465157481,9.474397195508125,-0.09967688567122285,0.677849489113535,0
APEX1,SLC5A5,trrust,1,4,0.051177074541765614,-0.022415354160539837,0.010077655819946442,0.48707586936210645,0.016058491091261926,1.7901055635355554,0.04812061031791571,0.0766566724838875,0
EGR1,ZFPM1,dorothea,1,4,-0.01621405117061651,0.0008910573537422972,0.007483519579833577,0.47528379030167067,0.012142702837625856,17.810872640582346,0.018281373306955357,0.06730321322590581,0
TP53,SEC14L2,dorothea,1,4,0.026009125604540703,-0.0029243501269330843,0.004074261406948068,0.4583673423722767,0.006613876161257954,2.099522872892499,0.025319624156846503,0.02735345815727945,0
MEN1,RAD51AP1,trrust,1,4,-0.0008871804983670208,0.0008846175260913291,0.005573292246352588,0.35047004798747305,0.008772906491010363,3.0893755241625627,0.052966730027982294,0.1673250269264494,0
EGR1,DNM1,dorothea,1,4,0.02878251187493903,-0.002193182043197965,0.025486354918635396,0.3211644618557492,0.041876461335538004,17.810872640582346,-0.05227345801933015,0.11827104611989754,0
ETV4,CCND2,trrust,1,4,0.151014318804873,-0.0007222083161039453,0.045473376786239895,0.3057663921419588,0.05932924668686518,3.723605399562351,0.10872757617161095,0.18475293726412662,0
STAT1,CDC7,dorothea,1,4,0.02032654175230822,-0.006428820948260102,0.003885643177011449,0.3013447307162149,0.006106010796155606,1.6494621947567465,0.012188580224508125,0.036347863342431855,0
KAT2B,SMAD4,trrust,1,4,0.021796258442005643,-0.0027072173808131788,0.006984546384767691,0.2792189437548027,0.01148469948942131,3.4161960252038712,0.024174892864332383,0.03265574453126194,0
ZNF263,CASZ1,dorothea,1,4,-0.003339764397261394,0.002369330603509225,0.009844316049022795,0.26270706933131127,0.013974305722921314,2.303505657575303,0.07095155797346538,0.19251645303018758,0
MITF,AFF3,dorothea,1,4,-0.25104208540569856,0.025723694894212293,0.06430311834597868,0.2506233391294551,0.09545237366531974,3.269119700237117,-0.3325706384521747,0.292855040525775,0
CEBPA,VLDLR,"dorothea,trrust",2,4,-0.01964451155257293,0.0014832712442476425,0.018754656928218393,0.22767564963218812,0.027846906654440583,5.0669802435654985,-0.17386178317197545,0.3860765869615446,0
SP1,MAOB,"dorothea,trrust",2,4,0.060866794483042566,-0.01817189053349989,0.018278146882798527,0.22070010266343532,0.030852300007495996,1.4989209754771469,-0.5625480458209771,1.3102238375227588,0
AKR1B1,ITPR2,dorothea,1,4,-0.18959643071502294,0.10654760123706564,0.11317845904984299,0.21548569650682614,0.17523226635201655,1.8711215076860712,0.17118640633882506,1.2591591688344377,0
TP53,KCNMA1,dorothea,1,4,-0.02910791579354933,0.006214764512958834,0.01621201751168636,0.19445275878768453,0.027090208882331587,2.099522872892499,-0.033927644604093574,0.10347942416390868,0
STAT1,VSIR,dorothea,1,4,-0.08310913621468992,0.039063615207172026,0.032698573341637054,0.18359358466552778,0.045004190947107184,1.6494621947567465,-0.10121099622807428,0.32031814682821924,0
NFKB1,NOX5,trrust,1,4,1.2982252360465345e-05,-0.0003309428932571535,0.0003939468560331572,0.14239481787829866,0.0005105303516353241,2.2227710544390544,5.581747863679939e-05,0.004453757339701756,0
HIF1A,ITGB2,"dorothea,trrust",2,4,0.30482034393272006,-0.14992952858913638,0.10817395203181408,0.11839476639929447,0.14234185104716043,1.5255905778372452,6.901798218220978,16.803618176909808,0
STAT3,EPAS1,"dorothea,trrust",2,4,-0.021570346103223555,0.054017510229660094,0.060380807888977525,0.1065985626615904,0.09214213719941432,1.672217771695088,-1.9365947832209223,4.27277247949796,0
CREB1,XPC,trrust,1,4,0.04581907233474741,-0.007472745938664406,0.012914474353515155,0.10045210136193228,0.019758128984229892,1.8748033533276036,-0.714155650084923,1.1521246218332388,0
STAT3,JUNB,"dorothea,trrust",2,4,0.235663171177495,-0.052420385582734645,0.0607297870632757,0.09997364937927555,0.09718843995731097,1.672217771695088,1.003732507960518,1.5198895643879977,0
NR2F2,RFTN1,dorothea,1,4,-0.00675140819311935,0.000606842182309566,0.10432287073660039,0.07836093077492068,0.15543250701117847,68.48060187504788,-0.23597927698472773,0.6808345222540468,0
CTCF,CACNA1D,dorothea,1,4,0.01415690708856223,-0.0044949694303564255,0.008636225798749331,0.061570064113301015,0.014313660504965246,1.643988045716806,0.003479154115845069,0.07015517411438332,0
MYC,CCKBR,dorothea,1,4,-0.0009276465335111707,0.0001811023944038649,0.0004490560660521389,0.057659700135429204,0.0007702629158159822,1.810456043153196,0.0013785187928912204,0.0039286306226056,0
VDR,CD14,trrust,1,4,0.26443566484671355,-0.0313215118309986,0.17852394469551772,0.05444923554037151,0.3046799436636449,1.9008764414407266,0.06606226453492774,1.4920313744015887,0
