source,target,n_env,beta_hat,c_hat,rmse,r2,varx_ratio,pairwise_beta_sd,beta_hat_full,beta_hat_loo_mean,beta_hat_loo_sd,beta_hat_loo_min,beta_hat_loo_max,beta_hat_loo_range,diagnostic_pass
AKR1B1,ITPR2,4,-0.189596430715023,0.10654760123706565,0.11317845904984297,0.21548569650682592,1.8711215076860712,1.2591591688344377,-0.189596430715023,-0.2982854584818635,0.33980740937844617,-0.7795324348766038,0.018769922145529604,0.7983023570221335,0
APEX1,SLC5A5,4,0.05117707454176562,-0.022415354160539833,0.010077655819946421,0.48707586936210745,1.7901055635355554,0.07665667248388736,0.05117707454176562,0.043880399812533416,0.03771185176857516,-0.011096817522619332,0.07304328999195914,0.08414010751457847,0
ATF3,LDLR,4,0.1997924557433797,-0.008164690956169004,0.029936940489979726,0.6662245890250243,9.839706122094988,0.11247665994248739,0.1997924557433797,0.23210982378859296,0.0692356099697463,0.1778102439360762,0.3319673891796815,0.1541571452436053,1
CEBPA,DAPK1,4,0.44795616997158705,-0.011413701371471262,0.056033587670902926,0.6616437963951809,5.066980243565503,1.0425107748391207,0.44795616997158705,0.4601470426917722,0.05057387329685149,0.4157427104179165,0.5221980484858688,0.10645533806795232,0
CEBPA,HNF4A,4,-0.005515505710848826,0.0006193256376580511,0.00405077771331272,0.5241900443703794,5.066980243565503,0.08097140832420807,-0.005515505710848826,-0.006016804704025573,0.002506288163068952,-0.008193099149494523,-0.0035920075455261754,0.004601091603968347,1
CEBPA,VLDLR,4,-0.019644511552572817,0.001483271244247635,0.018754656928218375,0.227675649632187,5.066980243565503,0.38607658696154956,-0.019644511552572817,-0.019098388847112385,0.009329301816795714,-0.028493842845609,-0.006247033100593907,0.022246809745015094,0
CEBPB,GFER,4,0.024170636554199522,-0.006506502796525425,0.025884145947330742,0.021810426662717264,2.392312466159792,0.1708210103722532,0.024170636554199522,0.026676465648080586,0.04874047603092574,-0.021865341033975298,0.093546425873384,0.1154117669073593,0
CREB1,XPC,4,0.04581907233474733,-0.007472745938664405,0.012914474353515155,0.10045210136193217,1.8748033533276036,1.152124621833257,0.04581907233474733,-0.21006482072100455,0.5146847070821237,-0.9819712283143616,0.059945291976177546,1.0419165202905392,0
CTCF,CACNA1D,4,0.014156907088562182,-0.004494969430356401,0.008636225798749255,0.06157006411330168,1.6439880457168061,0.0701551741143826,0.014156907088562182,0.004498116083458787,0.03727545274093998,-0.04981062446171787,0.03511387652381285,0.08492450098553073,0
CTCF,MAP4K4,4,-0.16210598597374554,0.09044121572892157,0.03863435412017347,0.5703054720803704,1.6439880457168061,0.33476746579825273,-0.16210598597374554,-0.20523834176544636,0.1414467235697484,-0.4148832036002176,-0.1046314729125033,0.3102517306877143,0
