r2_min,rmse_max,varx_ratio_min,pairwise_sd_max,pass_count,pass_fraction
0.3,0.05,1.1,0.15,23,0.3026315789473684
0.3,0.05,1.1,0.2,28,0.3684210526315789
0.3,0.05,1.1,0.3,28,0.3684210526315789
0.3,0.05,1.25,0.15,23,0.3026315789473684
0.3,0.05,1.25,0.2,28,0.3684210526315789
0.3,0.05,1.25,0.3,28,0.3684210526315789
0.3,0.05,1.5,0.15,22,0.2894736842105263
0.3,0.05,1.5,0.2,26,0.34210526315789475
0.3,0.05,1.5,0.3,26,0.34210526315789475
0.3,0.1,1.1,0.15,24,0.3157894736842105
0.3,0.1,1.1,0.2,29,0.3815789473684211
0.3,0.1,1.1,0.3,29,0.3815789473684211
0.3,0.1,1.25,0.15,24,0.3157894736842105
0.3,0.1,1.25,0.2,29,0.3815789473684211
0.3,0.1,1.25,0.3,29,0.3815789473684211
0.3,0.1,1.5,0.15,23,0.3026315789473684
0.3,0.1,1.5,0.2,27,0.35526315789473684
0.3,0.1,1.5,0.3,27,0.35526315789473684
0.3,0.15,1.1,0.15,24,0.3157894736842105
0.3,0.15,1.1,0.2,29,0.3815789473684211
0.3,0.15,1.1,0.3,29,0.3815789473684211
0.3,0.15,1.25,0.15,24,0.3157894736842105
0.3,0.15,1.25,0.2,29,0.3815789473684211
0.3,0.15,1.25,0.3,29,0.3815789473684211
0.3,0.15,1.5,0.15,23,0.3026315789473684
0.3,0.15,1.5,0.2,27,0.35526315789473684
0.3,0.15,1.5,0.3,27,0.35526315789473684
0.4,0.05,1.1,0.15,21,0.27631578947368424
0.4,0.05,1.1,0.2,24,0.3157894736842105
0.4,0.05,1.1,0.3,24,0.3157894736842105
0.4,0.05,1.25,0.15,21,0.27631578947368424
0.4,0.05,1.25,0.2,24,0.3157894736842105
0.4,0.05,1.25,0.3,24,0.3157894736842105
0.4,0.05,1.5,0.15,20,0.2631578947368421
0.4,0.05,1.5,0.2,22,0.2894736842105263
0.4,0.05,1.5,0.3,22,0.2894736842105263
0.4,0.1,1.1,0.15,22,0.2894736842105263
0.4,0.1,1.1,0.2,25,0.32894736842105265
0.4,0.1,1.1,0.3,25,0.32894736842105265
